parameter_name,date_local,units_of_measure,arithmetic_mean,cbsa_name
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.007,Los Angeles-Long Beach-Anaheim CA
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,Portland-South Portland ME
Lead PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,San Jose-Sunnyvale-Santa Clara CA
12-Dichloropropane,2000,Parts per billion Carbon,0,El Paso TX
Arsenic PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00029,Vineyard Haven MA
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,Columbia SC
Arsenic PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Lake Havasu City-Kingman AZ
Beryllium (TSP) STP,2016,Nanograms/cubic meter (25 C),0.2,Port Clinton OH
Cadmium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Fresno CA
Tetrachloroethylene,2004,Parts per billion Carbon,0.14,Miami-Fort Lauderdale-West Palm Beach FL
Lead PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00078,Sierra Vista-Douglas AZ
Nickel PM2.5 LC,2016,Micrograms/cubic meter (LC),0.001,Riverside-San Bernardino-Ontario CA
Arsenic PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Crescent City CA
trans-13-Dichloropropene,2005,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,2014,Micrograms/cubic meter (LC),0,San Francisco-Oakland-Hayward CA
Benzene,2008,Parts per billion Carbon,2.632273,Houston-The Woodlands-Sugar Land TX
Chromium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Charlotte-Concord-Gastonia NC-SC
Ethylene dibromide,2001,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Nickel PM10 STP,1996,Nanograms/cubic meter (25 C),1,Sacramento--Roseville--Arden-Arcade CA
Trichloroethylene,2008,Parts per billion Carbon,0.018,Phoenix-Mesa-Scottsdale AZ
Tetrachloroethylene,2002,Parts per billion Carbon,0.1,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM10 STP,1996,Nanograms/cubic meter (25 C),1,Modesto CA
Acrolein - Unverified,2012,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Formaldehyde,2011,Parts per billion Carbon,1.4,Tampa-St. Petersburg-Clearwater FL
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,
Arsenic PM2.5 LC,2007,Micrograms/cubic meter (LC),0,
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,New Orleans-Metairie LA
Manganese PM10 STP,2012,Nanograms/cubic meter (25 C),21.3,Detroit-Warren-Dearborn MI
Chromium PM10 STP,2011,Nanograms/cubic meter (25 C),2.28,
Ethylene dichloride,2015,Parts per billion Carbon,0,Providence-Warwick RI-MA
Tetrachloroethylene,2014,Parts per billion Carbon,0.02,Dallas-Fort Worth-Arlington TX
Benzene,2016,Parts per billion Carbon,0.195,Houston-The Woodlands-Sugar Land TX
Arsenic PM2.5 LC,1992,Micrograms/cubic meter (LC),0.00036,
Nickel (TSP) STP,2009,Micrograms/cubic meter (25 C),0.007,St. Louis MO-IL
12-Dichloropropane,2006,Parts per billion Carbon,0.02,El Paso TX
Vinyl chloride,2014,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Ethylene dichloride,2005,Parts per billion Carbon,0,Providence-Warwick RI-MA
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),5e-05,
Chromium PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Dichloromethane,1996,Parts per billion Carbon,0.24,Nashville-Davidson--Murfreesboro--Franklin TN
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,
Arsenic PM2.5 LC,2002,Micrograms/cubic meter (LC),0,
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,Flagstaff AZ
cis-13-Dichloropropene,2012,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Cadmium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Portland-Vancouver-Hillsboro OR-WA
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0,
1122-Tetrachloroethane,2007,Parts per billion Carbon,0,Providence-Warwick RI-MA
Acetaldehyde,2006,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel (TSP) STP,1996,Micrograms/cubic meter (25 C),0,Detroit-Warren-Dearborn MI
Nickel PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Macon GA
1122-Tetrachloroethane,2009,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Trichloroethylene,2008,Parts per billion Carbon,0.02,San Francisco-Oakland-Hayward CA
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),0.001,Eugene OR
Beryllium (TSP) STP,2009,Nanograms/cubic meter (25 C),0,Columbia SC
Trichloroethylene,2010,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Benzene,2014,Parts per billion Carbon,2.62,Seattle-Tacoma-Bellevue WA
Cadmium (TSP) STP,2005,Micrograms/cubic meter (25 C),0.002,Chicago-Naperville-Elgin IL-IN-WI
Arsenic PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Prescott AZ
Arsenic PM2.5 LC,2001,Micrograms/cubic meter (LC),0,Gulfport-Biloxi-Pascagoula MS
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Sierra Vista-Douglas AZ
Nickel (TSP) STP,1996,Micrograms/cubic meter (25 C),0,Greenville-Anderson-Mauldin SC
Trichloroethylene,2013,Parts per billion Carbon,0.02,Chico CA
Trichloroethylene,2013,Parts per billion Carbon,0.02,New York-Newark-Jersey City NY-NJ-PA
Benzene,1998,Parts per billion Carbon,3.2,Houston-The Woodlands-Sugar Land TX
Chloroform,1996,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Pittsburgh PA
1122-Tetrachloroethane,2016,Parts per billion Carbon,0,Washington-Arlington-Alexandria DC-VA-MD-WV
Benzene,2013,Parts per billion Carbon,1.92,Houston-The Woodlands-Sugar Land TX
Nickel PM2.5 LC,1993,Micrograms/cubic meter (LC),0,
Arsenic PM2.5 LC,2008,Micrograms/cubic meter (LC),0,
Vinyl chloride,2006,Parts per billion Carbon,0,Providence-Warwick RI-MA
1122-Tetrachloroethane,2006,Parts per billion Carbon,0.01,Dallas-Fort Worth-Arlington TX
Tetrachloroethylene,2006,Parts per billion Carbon,0,Lewisburg PA
Lead PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Oxnard-Thousand Oaks-Ventura CA
Vinyl chloride,2012,Parts per billion Carbon,0,Birmingham-Hoover AL
Manganese PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,Durango CO
Nickel PM2.5 LC,1996,Micrograms/cubic meter (LC),0.00143,Homosassa Springs FL
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),7e-05,Hilo HI
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Gulfport-Biloxi-Pascagoula MS
Tetrachloroethylene,1996,Parts per billion Carbon,0.04,San Francisco-Oakland-Hayward CA
Nickel PM2.5 LC,1996,Micrograms/cubic meter (LC),0,
13-Butadiene,2012,Parts per billion Carbon,0.08,Los Angeles-Long Beach-Anaheim CA
Beryllium PM10 STP,1992,Nanograms/cubic meter (25 C),0,Topeka KS
Benzene,2008,Parts per billion Carbon,2.68913,Milwaukee-Waukesha-West Allis WI
Nickel PM2.5 LC,2010,Micrograms/cubic meter (LC),0.0054,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Tucson AZ
Vinyl chloride,2000,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Lubbock TX
Nickel (TSP) STP,1996,Micrograms/cubic meter (25 C),0.003,Helena MT
Nickel PM10 STP,2013,Nanograms/cubic meter (25 C),0.37,Evansville IN-KY
Trichloroethylene,1999,Parts per billion Carbon,0,Beaumont-Port Arthur TX
Benzene,2001,Parts per billion Carbon,1.55,Duluth MN-WI
Manganese PM2.5 LC,2016,Micrograms/cubic meter (LC),0.002,
1122-Tetrachloroethane,1992,Parts per billion Carbon,0,Lansing-East Lansing MI
Carbon tetrachloride,2011,Parts per billion Carbon,0.09,Beaumont-Port Arthur TX
Chromium PM10 STP,2010,Nanograms/cubic meter (25 C),3,Houston-The Woodlands-Sugar Land TX
Tetrachloroethylene,1996,Parts per billion Carbon,0.892,New York-Newark-Jersey City NY-NJ-PA
trans-13-Dichloropropene,2008,Parts per billion Carbon,0,Burlington-South Burlington VT
Arsenic PM2.5 LC,2004,Micrograms/cubic meter (LC),0,
Nickel PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00056,
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),8e-05,Roswell NM
Benzene,1996,Parts per billion Carbon,0.773333,Atlanta-Sandy Springs-Roswell GA
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.002,Evansville IN-KY
Arsenic PM2.5 LC,2007,Micrograms/cubic meter (LC),0.0009,Washington-Arlington-Alexandria DC-VA-MD-WV
Chromium PM2.5 LC,1998,Micrograms/cubic meter (LC),0.00147,Bishop CA
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Fargo ND-MN
Cadmium (TSP) STP,2007,Micrograms/cubic meter (25 C),0.00017,Tulsa OK
Carbon tetrachloride,2005,Parts per billion Carbon,0.11,Gulfport-Biloxi-Pascagoula MS
Tetrachloroethylene,2011,Parts per billion Carbon,0.03,
Chromium PM10 STP,1998,Nanograms/cubic meter (25 C),0,Wichita KS
1122-Tetrachloroethane,2012,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Nickel (TSP) STP,1991,Micrograms/cubic meter (25 C),0.01,Riverside-San Bernardino-Ontario CA
Chromium PM2.5 LC,2000,Micrograms/cubic meter (LC),0,Laramie WY
Nickel (TSP) STP,1998,Micrograms/cubic meter (25 C),0,Greenwood SC
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Knoxville TN
Dichloromethane,2007,Parts per billion Carbon,0.2,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
1122-Tetrachloroethane,2001,Parts per billion Carbon,0,Providence-Warwick RI-MA
Benzene,2004,Parts per billion Carbon,1.5,Washington-Arlington-Alexandria DC-VA-MD-WV
Trichloroethylene,2014,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
trans-13-Dichloropropene,1998,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Nickel PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Provo-Orem UT
Chloroform,2011,Parts per billion Carbon,0.02,San Francisco-Oakland-Hayward CA
Nickel PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Washington-Arlington-Alexandria DC-VA-MD-WV
Chromium PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Reading PA
Lead PM2.5 LC,2012,Micrograms/cubic meter (LC),0.002,Torrington CT
Ethylene dichloride,2012,Parts per billion Carbon,0.05,
Dichloromethane,2010,Parts per billion Carbon,0,
Dichloromethane,2014,Parts per billion Carbon,0.3,New York-Newark-Jersey City NY-NJ-PA
12-Dichloropropane,2006,Parts per billion Carbon,0,Providence-Warwick RI-MA
Lead PM2.5 LC,2012,Micrograms/cubic meter (LC),0.002,Torrington CT
13-Butadiene,2013,Parts per billion Carbon,0.195455,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,2008,Micrograms/cubic meter (LC),0.0065,Riverside-San Bernardino-Ontario CA
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Sacramento--Roseville--Arden-Arcade CA
Vinyl chloride,2007,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Cadmium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Davenport-Moline-Rock Island IA-IL
Chromium PM2.5 LC,2001,Micrograms/cubic meter (LC),0,Grants Pass OR
Nickel (TSP) STP,2008,Micrograms/cubic meter (25 C),0,Duluth MN-WI
Benzene,2010,Parts per billion Carbon,0.66,Bakersfield CA
Cadmium (TSP) STP,2015,Micrograms/cubic meter (25 C),0,Morgantown WV
Arsenic PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Fort Collins CO
Lead PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00522,St. Louis MO-IL
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Lawton OK
Arsenic PM2.5 LC,2008,Micrograms/cubic meter (LC),0.001,Charleston-North Charleston SC
Chromium PM2.5 LC,2001,Micrograms/cubic meter (LC),0,
12-Dichloropropane,2005,Parts per billion Carbon,0.01,Minneapolis-St. Paul-Bloomington MN-WI
Dichloromethane,2007,Parts per billion Carbon,0.288,Tulsa OK
Arsenic PM2.5 LC,1994,Micrograms/cubic meter (LC),0,
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00019,Seattle-Tacoma-Bellevue WA
Cadmium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Asheville NC
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Miami-Fort Lauderdale-West Palm Beach FL
Ethylene dibromide,2008,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Dichloromethane,2008,Parts per billion Carbon,0.2,New York-Newark-Jersey City NY-NJ-PA
Benzene,2006,Parts per billion Carbon,7.56,Los Angeles-Long Beach-Anaheim CA
13-Butadiene,1995,Parts per billion Carbon,0.32,Oxnard-Thousand Oaks-Ventura CA
Benzene,2010,Parts per billion Carbon,3.84,Corpus Christi TX
Carbon tetrachloride,2013,Parts per billion Carbon,0.12,Tulsa OK
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Pensacola-Ferry Pass-Brent FL
Manganese PM2.5 LC,2007,Micrograms/cubic meter (LC),0,
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,St. Louis MO-IL
Acetaldehyde,1999,Parts per billion Carbon,4,Baltimore-Columbia-Towson MD
Cadmium (TSP) STP,1990,Micrograms/cubic meter (25 C),0,Butte-Silver Bow MT
Trichloroethylene,2003,Parts per billion Carbon,0.02,Los Angeles-Long Beach-Anaheim CA
Arsenic PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00026,
Trichloroethylene,2014,Parts per billion Carbon,0,Beaumont-Port Arthur TX
Manganese PM2.5 LC,2002,Micrograms/cubic meter (LC),0.0026,Dover DE
Nickel PM2.5 LC,2010,Micrograms/cubic meter (LC),0.0027,Albany-Schenectady-Troy NY
Acetaldehyde,2014,Parts per billion Carbon,0.5,Marshall TX
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),8e-05,
Carbon tetrachloride,2010,Parts per billion Carbon,0.133,Daphne-Fairhope-Foley AL
Manganese (TSP) STP,2011,Micrograms/cubic meter (25 C),0.007,
Cadmium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Ann Arbor MI
Formaldehyde,2002,Parts per billion Carbon,1,Baton Rouge LA
Formaldehyde,2003,Parts per billion Carbon,0.6705,Burlington-South Burlington VT
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Rochester NY
Lead PM10 STP,2000,Micrograms/cubic meter (25 C),0.001,Clearlake CA
trans-13-Dichloropropene,2010,Parts per billion Carbon,0,Weirton-Steubenville WV-OH
Chromium PM2.5 LC,1996,Micrograms/cubic meter (LC),0,Crescent City CA
Trichloroethylene,2011,Parts per billion Carbon,0,Tulsa OK
Chromium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Port Angeles WA
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0.003,
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,
cis-13-Dichloropropene,2013,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Carbon tetrachloride,1996,Parts per billion Carbon,0.1,El Paso TX
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Nickel (TSP) STP,2002,Micrograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Manganese (TSP) STP,2011,Micrograms/cubic meter (25 C),0,Brainerd MN
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),0.006,Detroit-Warren-Dearborn MI
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0,
Benzene,2009,Parts per billion Carbon,0.0575,
Nickel (TSP) STP,1996,Micrograms/cubic meter (25 C),0,Columbia SC
Cadmium (TSP) STP,1996,Micrograms/cubic meter (25 C),0.034,Helena MT
Beryllium (TSP) STP,2005,Nanograms/cubic meter (25 C),0,Savannah GA
Formaldehyde,2009,Parts per billion Carbon,0.7,Buffalo-Cheektowaga-Niagara Falls NY
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,
Arsenic PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Canton-Massillon OH
Carbon tetrachloride,2009,Parts per billion Carbon,0.085,Seattle-Tacoma-Bellevue WA
Chromium VI (TSP) STP,2012,Micrograms/cubic meter (25 C),0,Marshall TX
Trichloroethylene,2010,Parts per billion Carbon,0.02,Seattle-Tacoma-Bellevue WA
Chromium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Bellingham WA
Acetaldehyde,2002,Parts per billion Carbon,8.65,Los Angeles-Long Beach-Anaheim CA
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0.005,
1122-Tetrachloroethane,2015,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Lead PM2.5 LC,2012,Micrograms/cubic meter (LC),0.001,Tucson AZ
Benzene,2002,Parts per billion Carbon,3.71,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Trichloroethylene,2007,Parts per billion Carbon,0.1,Boise City ID
Ethylene dibromide,2009,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Vinyl chloride,2011,Parts per billion Carbon,0,Boston-Cambridge-Newton MA-NH
Vinyl chloride,2012,Parts per billion Carbon,0.01,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM10 STP,2004,Nanograms/cubic meter (25 C),23.93,Seattle-Tacoma-Bellevue WA
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,
Nickel PM2.5 LC,2008,Micrograms/cubic meter (LC),0.0022,Tampa-St. Petersburg-Clearwater FL
Tetrachloroethylene,2006,Parts per billion Carbon,0.04,San Juan-Carolina-Caguas PR
Chromium PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,Harrisburg-Carlisle PA
Manganese (TSP) STP,2017,Micrograms/cubic meter (25 C),0.06408,Detroit-Warren-Dearborn MI
Acetaldehyde,2005,Parts per billion Carbon,2.5625,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.006,Chicago-Naperville-Elgin IL-IN-WI
Beryllium PM2.5 LC,2005,Micrograms/cubic meter (LC),0.0001,Gulfport-Biloxi-Pascagoula MS
Chloroform,2003,Parts per billion Carbon,0.06,San Francisco-Oakland-Hayward CA
Tetrachloroethylene,2015,Parts per billion Carbon,0.05,Seattle-Tacoma-Bellevue WA
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,La Grande OR
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Tallahassee FL
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00112,Washington-Arlington-Alexandria DC-VA-MD-WV
Lead PM10 STP,2011,Micrograms/cubic meter (25 C),0.0069,Providence-Warwick RI-MA
Arsenic PM2.5 LC,2015,Micrograms/cubic meter (LC),0,La Grande OR
Manganese PM10 STP,2015,Nanograms/cubic meter (25 C),1.94,Atlanta-Sandy Springs-Roswell GA
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Lead PM2.5 LC,2016,Micrograms/cubic meter (LC),0.009,Dayton OH
Cadmium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Seattle-Tacoma-Bellevue WA
Lead PM2.5 LC,2016,Micrograms/cubic meter (LC),0.001,
Trichloroethylene,2009,Parts per billion Carbon,0.01,Portland-South Portland ME
12-Dichloropropane,2008,Parts per billion Carbon,0,Burlington-South Burlington VT
Ethylene dichloride,2007,Parts per billion Carbon,0.06,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0.003,
Chloroform,2012,Parts per billion Carbon,0,Virginia Beach-Norfolk-Newport News VA-NC
13-Butadiene,2016,Parts per billion Carbon,0,Washington-Arlington-Alexandria DC-VA-MD-WV
cis-13-Dichloropropene,2011,Parts per billion Carbon,0,Richmond VA
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0,Glenwood Springs CO
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),0.002,Charleston-North Charleston SC
Arsenic PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00188,
Lead PM10 STP,2009,Micrograms/cubic meter (25 C),0.0037,Boston-Cambridge-Newton MA-NH
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,Rochester NY
Vinyl chloride,2008,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Acrolein - Unverified,2014,Parts per billion Carbon,2.79,Los Angeles-Long Beach-Anaheim CA
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0.019,Flagstaff AZ
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0.00133,Dover DE
Nickel PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Duluth MN-WI
Manganese PM10 STP,2000,Nanograms/cubic meter (25 C),18,Fresno CA
1122-Tetrachloroethane,2007,Parts per billion Carbon,0,Burlington-South Burlington VT
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,Bishop CA
Chloroform,2007,Parts per billion Carbon,0,Midland MI
12-Dichloropropane,2016,Parts per billion Carbon,0,Columbus OH
Acetaldehyde,1996,Parts per billion Carbon,13.915,El Paso TX
Acetaldehyde,2007,Parts per billion Carbon,1.04,Davenport-Moline-Rock Island IA-IL
Formaldehyde,2012,Parts per billion Carbon,1.4,Buffalo-Cheektowaga-Niagara Falls NY
Benzene,2006,Parts per billion Carbon,2.7,Asheville NC
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,Huntington-Ashland WV-KY-OH
Dichloromethane,2010,Parts per billion Carbon,0.1,Lewiston-Auburn ME
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Pittsburgh PA
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,Winona MN
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0.0025,Raleigh NC
trans-13-Dichloropropene,2004,Parts per billion Carbon,0.15,Stockton-Lodi CA
Cadmium PM2.5 LC,2002,Micrograms/cubic meter (LC),0.001,
Chromium PM2.5 LC,1998,Micrograms/cubic meter (LC),0,
1122-Tetrachloroethane,2012,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Lead PM10 STP,1999,Micrograms/cubic meter (25 C),0.001,Fresno CA
Lead PM10 STP,1994,Micrograms/cubic meter (25 C),0.013,Kalamazoo-Portage MI
Beryllium (TSP) STP,1997,Nanograms/cubic meter (25 C),0,Topeka KS
Tetrachloroethylene,2005,Parts per billion Carbon,0.38,Virginia Beach-Norfolk-Newport News VA-NC
Trichloroethylene,2003,Parts per billion Carbon,0.01,El Paso TX
Lead PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Anchorage AK
Ethylene dibromide,2008,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00157,Emporia KS
Tetrachloroethylene,2001,Parts per billion Carbon,0.08,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Dichloromethane,1996,Parts per billion Carbon,0.08,Lake Charles LA
Trichloroethylene,2006,Parts per billion Carbon,0.2,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Cadmium PM10 STP,2014,Nanograms/cubic meter (25 C),0.6,Detroit-Warren-Dearborn MI
Lead PM2.5 LC,2016,Micrograms/cubic meter (LC),0,
Cadmium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Salt Lake City UT
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Fort Collins CO
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0.003,Portland-Vancouver-Hillsboro OR-WA
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,
Nickel (TSP) STP,1995,Micrograms/cubic meter (25 C),0,Charleston-North Charleston SC
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Harrisburg-Carlisle PA
12-Dichloropropane,2008,Parts per billion Carbon,0,Sault Ste. Marie MI
Arsenic PM2.5 LC,1998,Micrograms/cubic meter (LC),0.00029,
